"lgRate" "lgADT" "lgTrks" "Lane" "Acpt" "lgSigs" "Itg" "Slim" "lgLen" "Lwid" "Shld" "Hwy"
"2.19534759832222" "6.10852445677817" "3" "8" "4.6" "-2.31903981556254" "1.2" "55" "2.31903981556254" "12" "10" "Principal"
"1.51601514700366" "6.18982455888002" "3" "4" "4.4" "-4.00988458893184" "1.43" "60" "4.00988458893184" "12" "10" "Principal"
"1.59454854955035" "5.61470984411521" "3.32192809488736" "4" "4.7" "-3.28540221886225" "1.54" "60" "3.28540221886225" "12" "10" "Principal"
"1.19534759832222" "5.93073733756289" "3.70043971814109" "6" "3.8" "-3.41278152533848" "0.94" "65" "3.41278152533848" "12" "10" "Principal"
"0.687060688339892" "4.8073549220576" "3.58496250072116" "4" "2.2" "-4.32264926213102" "0.65" "70" "4.32264926213102" "12" "10" "Principal"
"2.78031009904338" "4.90689059560852" "2.58496250072116" "4" "24.8" "1.00540299717234" "0.34" "55" "2.57773093149008" "12" "10" "Major"
"1.94485844580754" "5.52356195605701" "3" "4" "11" "-0.292146396294507" "0.47" "55" "3.09929520433778" "12" "8" "Major"
"2.61353165291793" "4.64385618977472" "3.16992500144231" "4" "18.5" "-0.808842435454006" "0.38" "55" "2.38956681176273" "12" "10" "Major"
"1.71808758396052" "5.4262647547021" "3.58496250072116" "4" "7.5" "0.539363538691442" "0.95" "50" "3.98093926608551" "12" "4" "Major"
"2.55581615506164" "4.52356195605701" "2.8073549220576" "4" "8.2" "0.41258143098589" "0.12" "50" "3.04614178164472" "12" "5" "Major"
"2.0703893278914" "4.52356195605701" "2.58496250072116" "4" "5.4" "0.9943968945103" "0.29" "60" "2.81352468929781" "12" "10" "Major"
"2.20476675065461" "4.32192809488736" "3.16992500144231" "4" "11.2" "0.362106488429277" "0.15" "50" "3.7311832415722" "12" "2" "Major"
"2.26303440583379" "4.16992500144231" "3.8073549220576" "2" "15.2" "-0.424329102132666" "0" "50" "2.43295940727611" "12" "8" "Major"
"1.94485844580754" "4.39231742277876" "3" "4" "5.4" "-1.56559717585423" "0.34" "60" "1.56559717585423" "12" "10" "Major"
"1.4276061727819" "4.75488750216347" "2.8073549220576" "4" "7.9" "-0.545600068450383" "0.26" "55" "3.55458885167764" "12" "10" "Major"
"0.992768430768924" "4.4594316186373" "3.16992500144231" "4" "3.2" "-3.14730669878029" "0.68" "60" "3.14730669878029" "12" "10" "Major"
"1.0071955014042" "4.24792751344359" "3.16992500144231" "4" "11" "-2.30579203908049" "0.2" "60" "3.28983446517751" "12" "10" "Major"
"2.07724299893246" "3.16992500144231" "3.4594316186373" "2" "8.9" "-1.46534325928444" "0.18" "50" "2.45680614923047" "12" "6" "Major"
"1.46466826700344" "3.58496250072116" "3" "2" "12.4" "-3.10936055940423" "0.14" "55" "3.10936055940423" "13" "6" "Major"
"1.35049724708413" "3.58496250072116" "2.8073549220576" "4" "7.8" "0.0555244639661533" "0.05" "60" "4.34411833452143" "12" "10" "Major"
"0.918386234446348" "3.90689059560852" "3.70043971814109" "4" "9.6" "-2.78643371250183" "0.05" "55" "5.32517051237605" "12" "8" "Major"
"1.22650852980868" "3" "3" "2" "4.3" "-3.56193705962243" "0" "60" "3.56193705962243" "12" "10" "Major"
"1.50080205305716" "2.32192809488736" "3.16992500144231" "2" "11.1" "-2.49170269149563" "0" "50" "3.50969584193339" "12" "8" "Major"
"0.855989697308481" "2.32192809488736" "3.90689059560852" "2" "6.8" "-4.4594316186373" "0" "60" "4.4594316186373" "12" "7" "Major"
"3.20633064787105" "4.52356195605701" "2.58496250072116" "4" "53" "1.47991842453621" "0.56" "40" "1.83995958748953" "12" "2" "Other"
"3.10433665981474" "3.70043971814109" "2.58496250072116" "2" "17.3" "0.309871777460079" "0.31" "45" "1.6915341649192" "12" "2" "Other"
"3.03738222200308" "2.8073549220576" "3" "2" "27.3" "-0.622896010334381" "0.13" "55" "2.95046841415012" "12" "8" "Other"
"1.55090066464752" "3.32192809488736" "3.32192809488736" "2" "18" "-2.84273631721518" "0" "55" "3.84899843040002" "12" "6" "Other"
"2.90303827011291" "3.58496250072116" "2.8073549220576" "2" "30.2" "-2.50099259139648" "0.09" "45" "3.52857131887076" "12" "3" "Other"
"1.36176835941915" "3.16992500144231" "3" "2" "10.3" "-3.47248777146274" "0" "60" "3.47248777146274" "12" "7" "Other"
"2.52857131887076" "2" "3" "2" "18.2" "-2.43230384514221" "0" "45" "4.46532151358055" "11" "3" "Other"
"1.53605290024021" "2.32192809488736" "3.32192809488736" "2" "12.3" "-3.23112515787905" "0" "55" "3.23112515787905" "13" "1" "Other"
"1.57046293102604" "2" "3.70043971814109" "2" "7.1" "-4.28466218548316" "0" "55" "4.28466218548316" "12" "4" "Other"
"0.879705766282288" "2.32192809488736" "3.58496250072116" "2" "14" "-2.76027073094779" "0" "55" "4.39300425689832" "10" "8" "Other"
"1.91838623444635" "1" "3.32192809488736" "2" "11.3" "-3.70239579978838" "0.04" "55" "4.76341157447001" "12" "3" "Other"
"1.46466826700344" "1.58496250072116" "3" "2" "16.3" "-3.81044310384517" "0.07" "50" "3.81044310384517" "12" "4" "Other"
"2.09423606984577" "0" "3.4594316186373" "2" "9.6" "-4.36667191611176" "0" "55" "4.36667191611176" "11" "4" "Other"
"1.60880924267552" "1.58496250072116" "3.4594316186373" "2" "9" "-4.32624970083746" "0" "60" "4.32624970083746" "12" "8" "Federal"
"2.04264433740849" "0" "3.32192809488736" "2" "10.4" "-3.69041709553247" "0" "55" "3.69041709553247" "12" "3" "Federal"
